disease,desc
viral hepatitis,"Viral hepatitis is liver inflammation due to a viral infection. It may present in acute (recent infection relatively rapid onset) or chronic forms. The most common causes of viral hepatitis are the five unrelated hepatotropic viruses Hepatitis A Hepatitis B Hepatitis C Hepatitis D and Hepatitis E. In addition to the nominal hepatitis viruses other viruses that can also cause liver inflammation include Herpes simplex Cytomegalovirus Epstein-Barr virusor Yellow fever. , Source: Wikipedia"
tonsillar hypertrophy,"Palatine tonsils occasionally called the faucial tonsilsare the tonsils that can be seen on the left and right sides at the back of the throat. , Source: Wikipedia"
gastritis,"Also known as Stomach Inflammation and Gastric Inflammation  ,Gastritis is an inflammation of the lining of the stomach and has many possible causes. The main acute causes are excessive alcohol consumption or prolonged use of nonsteroidal anti-inflammatory drugs (also known as NSAIDs) such as aspirin or ibuprofen. Sometimes gastritis develops after major surgery traumatic injury burns or severe infections. Gastritis may also occur in those who have had weight loss surgery resulting in the banding or reconstruction of the digestive tract. Chronic causes are infection with bacteria primarily Helicobacter pylori chronic bile reflux and stress; certain autoimmune disorders can cause gastritis as well. The most common symptom is abdominal upset or pain. Other symptoms are indigestion abdominal bloating nausea and vomiting and pernicious anemia. Some may have a feeling of fullness or burning in the upper abdomen. A gastroscopy blood test complete blood count test or a stool test may be used to diagnose gastritis. Treatment includes taking antacids or other medicines such as proton pump inhibitors or antibiotics and avoiding hot or spicy foods. For those with pernicious anemia B12 injections are givenbut more often oral B12 supplements are recommended. , Source: Wikipedia"
skin cancer,"Also known as Malignant Neoplasm Of Skin  ,Skin cancers (skin neoplasms) are named after the type of skin cell from which they arise. Basal cell cancer originates from the lowest layer of the epidermis and is the most common but least dangerous skin cancer. Squamous cell cancer originates from the middle layer and is less common but more likely to spread and if untreated become fatal. Melanoma which originates in the pigment-producing cells (melanocytes) is the least common but most aggressive most likely to spread and if untreated become fatal. Still melanoma has one of the higher survival rates among major cancerwith over 75% of patients surviving 10 years in the UK during 2005-2007. , Source: Wikipedia"
rheumatic fever,"Also known as Polyarthritis Rheumatica  ,Rheumatic fever is an inflammatory disease that occurs following a Streptococcus pyogenes infection such as streptococcal pharyngitis or scarlet fever. Believed to be caused by antibody cross-reactivity that can involve the heart joints skin and brain the illness typically develops two to three weeks after a streptococcal infection. Acute rheumatic fever commonly appears in children between the ages of 6 and 15with only 20% of first-time attacks occurring in adults. The illness is so named because of its similarity in presentation to rheumatism. , Source: Wikipedia"
aphthous ulcer,"Also known as Canker Sore Aphthous Stomatitisand Aphtha  ,Aphthous stomatitis (also termed canker sores recurrent aphthous stomatitis RAS recurring oral aphthae and recurrent aphthous ulceration) is a common cause of benign and non-contagious mouth ulcers (canker sores). This condition is characterized by the repeated formation of ulcers on the mucous membrane of the oral cavity (the lining of the mouth) in otherwise healthy individuals. These ulcers occur periodically and heal completely between attacks. Symptoms range from a minor nuisance to interfering with eating and drinking. The cause is not completely understood but may involve a T cell mediated immune response which is triggered by a variety of factors. Different people may have different triggers including nutritional deficiencies local trauma stress hormonal influences allergies and a genetic predisposition. The condition is very common affecting about 20% of the general population. There is no cure and treatments are aimed at reducing pain and speeding the healing process. Often the onset of the condition is during childhood or adolescence and usually lasts for several years before gradually disappearing with or without any form of treatment. , Source: Wikipedia"
tonsillitis,"Also known as Tonsil Inflammation  ,Tonsillitis is inflammation of the tonsils most commonly caused by viral or bacterial infection. Symptoms may include sore throat and fever. When caused by a bacterium belonging to the group A streptococcus it is typically referred to as strep throat. The overwhelming majority of people recover completely with or without medication. In 40% symptoms will resolve in three days and within one week in 85% of peopleregardless of whether streptococcal infection is present or not. , Source: Wikipedia"
intestinal cancer,"Also known as Bowel Cancer Cancer Of Intestinesand Malignant Neoplasm Of Intestine  ,Colorectal cancer commonly known as colon cancer or bowel cancer is a cancer from uncontrolled cell growth in the colon or rectum (parts of the large intestine) or in the appendix. Genetic analysis shows that essentially colon and rectal tumours are genetically the same cancer. Symptoms of colorectal cancer typically include rectal bleeding and anemia which are sometimes associated with weight loss and changes in bowel habits. , Source: Wikipedia"
rocky mountain spotted fever,"Also known as Rocky Mountain Tick Fever  ,Rocky Mountain spotted fever is the most lethal and most frequently reported rickettsial illness in the United States. It has been diagnosed throughout the Americas. Some synonyms for Rocky Mountain spotted fever in other countries include “tick typhus”“Tobia fever” (Colombia) São Paulo fever” or “febre maculosa” (Brazil) and “fiebre manchada” (Mexico). It is distinct from the viral tick-borne infection Colorado tick fever. The disease is caused by Rickettsia rickettsii a species of bacterium that is spread to humans by Dermacentor ticks. Initial signs and symptoms of the disease include sudden onset of fever headache and muscle pain followed by development of rash. The disease can be difficult to diagnose in the early stagesand without prompt and appropriate treatment it can be fatal. , Source: Wikipedia"
stomach cancer,"Also known as Stomach Carcinoma Carcinoma Of Stomachand Gastric Carcinoma  ,Stomach cancer or gastric cancer refers to cancer arising from any part of the stomach. Stomach cancer causes about 80000deaths worldwide per year. Prognosis is poor (5-year survival <5 to 15%) because most patients present with advanced disease. , Source: Wikipedia"
developmental disability,"Also known as Child Development Disorder  ,Developmental disability is a term used in the United States and Canada to describe lifelong disabilities attributable to mental or physical impairmentsmanifested prior to age 18. It is not synonymous with developmental delay which is often a consequence of a temporary illness or trauma during childhood. , Source: Wikipedia"
